Hand,Bet Side,Bet Amount,Outcome,Result,Balance,Sequence Step
1,Player,40,Banker,Loss,960.0,1
2,Banker,80,Banker,Win,1036.0,2
3,Player,40,Player,Win,1076.0,1
4,Player,40,Player,Win,1116.0,1
5,Player,40,Player,Win,1156.0,1
6,Player,40,Player,Win,1196.0,1
7,Player,40,Banker,Loss,1156.0,1
8,Banker,80,Banker,Win,1232.0,2
9,Player,40,Player,Win,1272.0,1
10,Player,40,Player,Win,1312.0,1
11,Player,40,Player,Win,1352.0,1
12,Player,40,Banker,Loss,1312.0,1
13,Banker,80,Banker,Win,1388.0,2
14,Player,40,Player,Win,1428.0,1
15,Player,40,Banker,Loss,1388.0,1
16,Banker,80,Tie,Push,1388.0,2
17,Banker,80,Banker,Win,1464.0,2
18,Player,40,Banker,Loss,1424.0,1
19,Banker,80,Player,Loss,1344.0,2
20,Player,160,Player,Win,1504.0,3
21,Player,40,Banker,Loss,1464.0,1
22,Banker,80,Banker,Win,1540.0,2
23,Player,40,Tie,Push,1540.0,1
24,Player,40,Player,Win,1580.0,1
25,Player,40,Banker,Loss,1540.0,1
26,Banker,80,Banker,Win,1616.0,2
27,Player,40,Player,Win,1656.0,1
28,Player,40,Banker,Loss,1616.0,1
29,Banker,80,Banker,Win,1692.0,2
30,Player,40,Banker,Loss,1652.0,1
31,Banker,80,Player,Loss,1572.0,2
32,Player,160,Player,Win,1732.0,3
33,Player,40,Player,Win,1772.0,1
34,Player,40,Player,Win,1812.0,1
35,Player,40,Banker,Loss,1772.0,1
36,Banker,80,Banker,Win,1848.0,2
37,Player,40,Player,Win,1888.0,1
38,Player,40,Banker,Loss,1848.0,1
39,Banker,80,Player,Loss,1768.0,2
40,Player,160,Player,Win,1928.0,3
41,Player,40,Tie,Push,1928.0,1
42,Player,40,Banker,Loss,1888.0,1
43,Banker,80,Banker,Win,1964.0,2
44,Player,40,Banker,Loss,1924.0,1
45,Banker,80,Player,Loss,1844.0,2
46,Player,160,Player,Win,2004.0,3
47,Player,40,Player,Win,2044.0,1
48,Player,40,Player,Win,2084.0,1
49,Player,40,Banker,Loss,2044.0,1
50,Banker,80,Banker,Win,2120.0,2
51,Player,40,Player,Win,2160.0,1
52,Player,40,Player,Win,2200.0,1
53,Player,40,Player,Win,2240.0,1
54,Player,40,Player,Win,2280.0,1
55,Player,40,Banker,Loss,2240.0,1
56,Banker,80,Banker,Win,2316.0,2
57,Player,40,Player,Win,2356.0,1
58,Player,40,Banker,Loss,2316.0,1
59,Banker,80,Banker,Win,2392.0,2
60,Player,40,Banker,Loss,2352.0,1
61,Banker,80,Banker,Win,2428.0,2
