Hand,Bet Side,Bet Amount,Outcome,Result,Balance,Sequence Step
1,Player,5,Banker,Loss,495.0,1
2,Banker,10,Player,Loss,485.0,2
3,Player,20,Banker,Loss,465.0,3
4,Player,40,Banker,Loss,425.0,4
5,Banker,80,Player,Loss,345.0,5
6,Banker,160,Player,Loss,185.0,6
7,Player,5,Banker,Loss,180.0,1
8,Banker,10,Player,Loss,170.0,2
9,Player,20,Banker,Loss,150.0,3
10,Player,40,Tie,Push,150.0,4
11,Player,40,Tie,Push,150.0,4
12,Player,40,Player,Win,190.0,4
13,Player,5,Player,Win,195.0,1
14,Player,5,Banker,Loss,190.0,1
15,Banker,10,Banker,Win,199.5,2
16,Player,5,Banker,Loss,194.5,1
17,Banker,10,Player,Loss,184.5,2
18,Player,20,Player,Win,204.5,3
19,Player,5,Player,Win,209.5,1
20,Player,5,Banker,Loss,204.5,1
21,Banker,10,Banker,Win,214.0,2
22,Player,5,Tie,Push,214.0,1
23,Player,5,Banker,Loss,209.0,1
24,Banker,10,Banker,Win,218.5,2
25,Player,5,Banker,Loss,213.5,1
26,Banker,10,Player,Loss,203.5,2
27,Player,20,Banker,Loss,183.5,3
28,Player,40,Banker,Loss,143.5,4
29,Banker,80,Banker,Win,219.5,5
30,Player,5,Player,Win,224.5,1
31,Player,5,Player,Win,229.5,1
32,Player,5,Player,Win,234.5,1
33,Player,5,Banker,Loss,229.5,1
34,Banker,10,Player,Loss,219.5,2
35,Player,20,Banker,Loss,199.5,3
36,Player,40,Banker,Loss,159.5,4
37,Banker,80,Banker,Win,235.5,5
38,Player,5,Banker,Loss,230.5,1
39,Banker,10,Player,Loss,220.5,2
40,Player,20,Banker,Loss,200.5,3
41,Player,40,Banker,Loss,160.5,4
42,Banker,80,Player,Loss,80.5,5
